"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"1038-066452","066452","Infopark","47.469086","19.060499","","","0","","","","1","",""
"1038-066453","066453","Budafoki út / Dombóvári út","47.469797","19.053667","","","0","","","","1","",""
"1038-066454","066454","Budafoki út / Dombóvári út","47.469644","19.05437","","","0","","","","1","",""
"1038-066455","066455","Hauszmann Alajos utca / Szerémi út","47.466559","19.049568","","","0","","","","1","",""
"1038-066456","066456","Hauszmann Alajos utca / Szerémi út","47.467035","19.049754","","","0","","","","1","",""
"1038-066457","066457","Hengermalom út / Szerémi út","47.462097","19.048308","","","0","","","","1","",""
"1038-066458","066458","Hengermalom út / Szerémi út","47.462583","19.048507","","","0","","","","1","",""
"1038-066459","066459","Etele út / Fehérvári út","47.462376","19.042618","","","0","","","","1","",""
"1038-066460","066460","Etele út / Fehérvári út","47.462277","19.043347","","","0","","","","1","",""
"1038-066679","066679","Pallós utca","47.487056","19.291849","","","0","","","","2","",""
"1038-066680","066680","Pallós utca","47.48703","19.29149","","","0","","","","2","",""
"1038-066681","066681","Jókai Mór Általános Iskola","47.487994","19.294732","","","0","","","","2","",""
"1038-066682","066682","Jókai Mór Általános Iskola","47.487878","19.294148","","","0","","","","2","",""
"1038-066683","066683","Csabamező utca / Göcsej utca","47.48635","19.298268","","","0","","","","2","",""
"1038-066684","066684","Csabamező utca / Göcsej utca","47.486233","19.297962","","","0","","","","2","",""
"1038-066685","066685","Ecsedháza köz","47.487963","19.300796","","","0","","","","2","",""
"1038-066686","066686","Ecsedháza köz","47.488008","19.30077","","","0","","","","2","",""
"1038-066687","066687","Ede utca","47.490036","19.303089","","","0","","","","2","",""
"1038-066688","066688","Ede utca","47.490153","19.302983","","","0","","","","2","",""
"1038-066697","066697","Rés utca","47.480157","19.291817","","","0","","","","2","",""
